# Artificial left contexts provide semantic clues without repeating expected surface phrases.
case_id	category	input	expected	artificial_left_context
measured-001	completed_numeric_symbols	こうすいかくりつはろくじゅっぱーせんとです	降水確率は60%です	傘が必要か天気予報を確認します。
measured-002	completed_numeric_symbols	さんぶんのにがさんせいしました	3分の2が賛成しました	投票結果を集計しました。
measured-003	completed_contextual_homophones	こどもがあめをなめています	子供が飴を舐めています	子供がお菓子を食べています。
measured-004	completed_contextual_homophones	せんきょはこうせいにおこなわれました	選挙は公正に行われました	投票の公平性について報告します。
measured-005	completed_word_boundary_failures	こうせいどなそくていがひつようです	高精度な測定が必要です	測定誤差をできるだけ小さくします。
measured-006	completed_contextual_homophones	かみをとかしてからでかけます	髪をとかしてから出かけます	出かける前に身だしなみを整えます。
measured-007	completed_contextual_homophones	はしでぱすたをたべます	箸でパスタを食べます	食卓で使う道具を用意しました。
measured-008	completed_contextual_homophones	せいかうりばはにかいです	青果売り場は2階です	野菜と果物の売り場をご案内します。
measured-009	completed_contextual_homophones	じどうはんばいきにこうかをいれます	自動販売機に硬貨を入れます	現金で飲み物を買います。
measured-010	completed_contextual_homophones	あたらしいきのうのしようしょをかくにんします	新しい機能の仕様書を確認します	更新されたソフトウェアの資料を扱います。
measured-011	completed_accepted_variants	さんじゅうどをこえるあつさです	30度を超える暑さです	気温の危険な水準についてお知らせします。
measured-012	completed_accepted_variants	ひゃくにじゅうさんまんえんをうりあげました	123万円を売り上げました	今月の業績を報告します。
measured-013	completed_accepted_variants	えきのちかくにしょうがいしゃようのすろーぷがあります	駅の近くに障害者用のスロープがあります	駅のバリアフリー設備をご案内します。
measured-014	completed_numeric_symbols	ごじゅうさい	50歳	参加者の年齢を確認します。
measured-015	completed_numeric_symbols	きょうのさいこうきおんはさんじゅうごどです	今日の最高気温は35度です	これから本日の天気予報です。
measured-016	completed_word_boundary_failures	ひとりあたりにせんごひゃくえんです	一人当たり2500円です	参加費を人数で均等に分けます。
measured-017	completed_contextual_homophones	あついおちゃをゆっくりのみます	熱いお茶をゆっくり飲みます	休憩時間になりました。
measured-018	completed_word_boundary_failures	しんせいしょのきげんをかくにんしてください	申請書の期限を確認してください	手続きに必要な書類をご案内します。
measured-019	completed_word_boundary_failures	このしようではどうさしません	この仕様では動作しません	製品の設計条件について確認します。
measured-020	completed_contextual_homophones	かいしゃのきしゃがきしゃでかえりました	会社の記者が汽車で帰りました	地方取材の帰路について話します。
measured-021	completed_word_boundary_failures	じゅうようなかいぎをひらきます	重要な会議を開きます	役員が集まる予定についてお知らせします。
measured-022	completed_word_boundary_failures	ぷれぜんとをかみでつつみます	プレゼントを紙で包みます	贈り物のラッピングを用意しています。
measured-023	completed_word_boundary_failures	てんぽのかいてんじかんをしらべます	店舗の開店時間を調べます	お店を利用できる時刻をご案内します。
